epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 524288, 2, TaskBased, stddev, N.A, N.A, 0.249341
1e-10, 524288, 4, TaskBased, 0, 158.122, 0.993676, 17.4042
1e-10, 524288, 4, TaskBased, 1, 158.122, 0.993676, 17.2349
1e-10, 524288, 4, TaskBased, 2, 158.122, 0.993676, 16.8573
1e-10, 524288, 4, TaskBased, 3, 158.122, 0.993676, 16.6699
1e-10, 524288, 4, TaskBased, 4, 158.122, 0.993676, 16.5618
1e-10, 524288, 4, TaskBased, 5, 158.122, 0.993676, 16.4784
1e-10, 524288, 4, TaskBased, 6, 158.122, 0.993676, 17.2885
1e-10, 524288, 4, TaskBased, 7, 158.122, 0.993676, 16.6902
1e-10, 524288, 4, TaskBased, 8, 158.122, 0.993676, 16.7771
1e-10, 524288, 4, TaskBased, mean, N.A, N.A, 16.8847
1e-10, 524288, 4, TaskBased, stddev, N.A, N.A, 0.33936
1e-10, 524288, 8, TaskBased, 0, 158.122, 0.993676, 12.0761
1e-10, 524288, 8, TaskBased, 1, 158.122, 0.993676, 11.4375
1e-10, 524288, 8, TaskBased, 2, 158.122, 0.993676, 11.8142
1e-10, 524288, 8, TaskBased, 3, 158.122, 0.993676, 12.3167
1e-10, 524288, 8, TaskBased, 4, 158.122, 0.993676, 12.5226
1e-10, 524288, 8, TaskBased, 5, 158.122, 0.993676, 11.6907
1e-10, 524288, 8, TaskBased, 6, 158.122, 0.993676, 11.5422
1e-10, 524288, 8, TaskBased, 7, 158.122, 0.993676, 11.5378
1e-10, 524288, 8, TaskBased, 8, 158.122, 0.993676, 11.3482
1e-10, 524288, 8, TaskBased, mean, N.A, N.A, 11.8096
1e-10, 524288, 8, TaskBased, stddev, N.A, N.A, 0.410408
1e-10, 524288, 16, TaskBased, 0, 158.122, 0.993676, 10.1862
1e-10, 524288, 16, TaskBased, 1, 158.122, 0.993676, 10.5368
1e-10, 524288, 16, TaskBased, 2, 158.122, 0.993676, 9.9617
1e-10, 524288, 16, TaskBased, 3, 158.122, 0.993676, 10.1517
1e-10, 524288, 16, TaskBased, 4, 158.122, 0.993676, 10.1258
1e-10, 524288, 16, TaskBased, 5, 158.122, 0.993676, 9.64923
1e-10, 524288, 16, TaskBased, 6, 158.122, 0.993676, 9.67271
1e-10, 524288, 16, TaskBased, 7, 158.122, 0.993676, 10.3463
1e-10, 524288, 16, TaskBased, 8, 158.122, 0.993676, 9.50999
