epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 524288, 2, TaskBased, stddev, N.A, N.A, 2.89291
1e-10, 524288, 4, TaskBased, 0, 158.122, 0.993676, 37.1496
1e-10, 524288, 4, TaskBased, 1, 158.122, 0.993676, 35.6152
1e-10, 524288, 4, TaskBased, 2, 158.122, 0.993676, 36.6448
1e-10, 524288, 4, TaskBased, 3, 158.122, 0.993676, 37.3298
1e-10, 524288, 4, TaskBased, 4, 158.122, 0.993676, 36.7086
1e-10, 524288, 4, TaskBased, 5, 158.122, 0.993676, 36.6473
1e-10, 524288, 4, TaskBased, 6, 158.122, 0.993676, 35.1862
1e-10, 524288, 4, TaskBased, 7, 158.122, 0.993676, 35.5031
1e-10, 524288, 4, TaskBased, 8, 158.122, 0.993676, 36.2451
1e-10, 524288, 4, TaskBased, mean, N.A, N.A, 36.3366
1e-10, 524288, 4, TaskBased, stddev, N.A, N.A, 0.752007
1e-10, 524288, 8, TaskBased, 0, 158.122, 0.993676, 22.2677
1e-10, 524288, 8, TaskBased, 1, 158.122, 0.993676, 22.742
1e-10, 524288, 8, TaskBased, 2, 158.122, 0.993676, 22.5426
1e-10, 524288, 8, TaskBased, 3, 158.122, 0.993676, 22.4354
1e-10, 524288, 8, TaskBased, 4, 158.122, 0.993676, 22.0089
1e-10, 524288, 8, TaskBased, 5, 158.122, 0.993676, 22.2511
1e-10, 524288, 8, TaskBased, 6, 158.122, 0.993676, 22.426
1e-10, 524288, 8, TaskBased, 7, 158.122, 0.993676, 22.1556
1e-10, 524288, 8, TaskBased, 8, 158.122, 0.993676, 22.4921
1e-10, 524288, 8, TaskBased, mean, N.A, N.A, 22.369
1e-10, 524288, 8, TaskBased, stddev, N.A, N.A, 0.221202
1e-10, 524288, 16, TaskBased, 0, 158.122, 0.993676, 17.6607
1e-10, 524288, 16, TaskBased, 1, 158.122, 0.993676, 17.2501
1e-10, 524288, 16, TaskBased, 2, 158.122, 0.993676, 17.5278
1e-10, 524288, 16, TaskBased, 3, 158.122, 0.993676, 17.3887
1e-10, 524288, 16, TaskBased, 4, 158.122, 0.993676, 17.6627
1e-10, 524288, 16, TaskBased, 5, 158.122, 0.993676, 17.2949
1e-10, 524288, 16, TaskBased, 6, 158.122, 0.993676, 17.2461
