epsilon, dim, number_of_threads, algo_type, symmetry_type, id_rep, compression_ratio, space_saving, factorization_time (s), solve_time (s) 
1e-07, 65536, 1, Classic, S, std_dev, 8.3293, 0.00311834, 0.513519, 0.0259966
1e-07, 65536, 1, TaskBased, S, 0, 46.1296, 0.978322, 73.7879, 15.4034
1e-07, 65536, 1, TaskBased, S, 1, 57.8988, 0.982728, 71.0516, 5.52107
1e-07, 65536, 1, TaskBased, S, mean, 52.0142, 0.980525, 72.4197, 10.4622
1e-07, 65536, 1, TaskBased, S, std_dev, 8.32209, 0.00311551, 1.93489, 6.98786
1e-07, 131072, 1, Classic, S, 0, 85.6855, 0.988329, 155.61, 12.4917
1e-07, 131072, 1, Classic, S, 1, 108.094, 0.990749, 157.056, 15.8685
1e-07, 131072, 1, Classic, S, mean, 96.89, 0.989539, 156.333, 14.1801
1e-07, 131072, 1, Classic, S, std_dev, 15.8455, 0.0017112, 1.02273, 2.38774
1e-07, 131072, 1, TaskBased, S, 0, 85.6855, 0.988329, 157.512, 32.4767
1e-07, 131072, 1, TaskBased, S, 1, 108.093, 0.990749, 151.899, 11.6125
1e-07, 131072, 1, TaskBased, S, mean, 96.8895, 0.989539, 154.706, 22.0446
1e-07, 131072, 1, TaskBased, S, std_dev, 15.8448, 0.0017112, 3.96923, 14.7532
1e-07, 262144, 1, Classic, S, 0, 150.906, 0.993373, 402.506, 28.0626
1e-07, 262144, 1, Classic, S, 1, 192.753, 0.994812, 412.739, 29.1
1e-07, 262144, 1, Classic, S, mean, 171.83, 0.994093, 407.623, 28.5813
1e-07, 262144, 1, Classic, S, std_dev, 29.5903, 0.00101753, 7.23521, 0.733524
1e-07, 262144, 1, TaskBased, S, 0, 150.906, 0.993373, 406.105, 73.5333
1e-07, 262144, 1, TaskBased, S, 1, 192.738, 0.994812, 405.151, 26.9477
1e-07, 262144, 1, TaskBased, S, mean, 171.822, 0.994093, 405.628, 50.2405
1e-07, 262144, 1, TaskBased, S, std_dev, 29.5795, 0.00101753, 0.675035, 32.941
0.0001, 16384, 1, Classic, S, 0, 28.2396, 0.964589, 6.60713, 0.770703
0.0001, 16384, 1, Classic, S, 1, 39.0893, 0.974418, 6.36824, 0.765271
0.0001, 16384, 1, Classic, S, mean, 33.6645, 0.969504, 6.48769, 0.767987
0.0001, 16384, 1, Classic, S, std_dev, 7.6719, 0.00695015, 0.168924, 0.00384123
0.0001, 16384, 1, TaskBased, S, 0, 28.2396, 0.964589, 6.43112, 1.63316
0.0001, 16384, 1, TaskBased, S, 1, 37.795, 0.973541, 4.6476, 0.647804
