epsilon, dim, number_of_threads, algo_type, symmetry_type, id_rep, compression_ratio, space_saving, factorization_time (s), solve_time (s) 
1e-07, 65536, 1, Classic, N, std_dev, 4.16646, 0.00623456, 1.67436, 0.0930611
1e-07, 65536, 1, TaskBased, N, 0, 23.0729, 0.956659, 147.547, 16.7591
1e-07, 65536, 1, TaskBased, N, 1, 28.9602, 0.96547, 140.006, 5.93564
1e-07, 65536, 1, TaskBased, N, mean, 26.0166, 0.961064, 143.777, 11.3474
1e-07, 65536, 1, TaskBased, N, std_dev, 4.16294, 0.00623032, 5.33215, 7.65334
1e-07, 131072, 1, Classic, N, 0, 42.8567, 0.976666, 310.834, 12.9367
1e-07, 131072, 1, Classic, N, 1, 54.0588, 0.981502, 304.589, 13.781
1e-07, 131072, 1, Classic, N, mean, 48.4578, 0.979084, 307.711, 13.3588
1e-07, 131072, 1, Classic, N, std_dev, 7.92104, 0.00341957, 4.41581, 0.596989
1e-07, 131072, 1, TaskBased, N, 0, 42.8567, 0.976666, 309.97, 33.9606
1e-07, 131072, 1, TaskBased, N, 1, 54.0583, 0.981501, 296.469, 12.0614
1e-07, 131072, 1, TaskBased, N, mean, 48.4575, 0.979083, 303.219, 23.011
1e-07, 131072, 1, TaskBased, N, std_dev, 7.92072, 0.00341886, 9.54669, 15.4851
1e-07, 262144, 1, Classic, N, 0, 75.4749, 0.986751, 804.972, 29.6242
1e-07, 262144, 1, Classic, N, 1, 96.4198, 0.989629, 800.003, 33.7633
1e-07, 262144, 1, Classic, N, mean, 85.9473, 0.98819, 802.487, 31.6937
1e-07, 262144, 1, Classic, N, std_dev, 14.8103, 0.00203505, 3.51336, 2.92678
1e-07, 262144, 1, TaskBased, N, 0, 75.4749, 0.986751, 816.612, 74.9828
1e-07, 262144, 1, TaskBased, N, 1, 96.412, 0.989628, 782.643, 28.7619
1e-07, 262144, 1, TaskBased, N, mean, 85.9434, 0.98819, 799.628, 51.8723
1e-07, 262144, 1, TaskBased, N, std_dev, 14.8048, 0.00203435, 24.0195, 32.6831
0.0001, 16384, 1, Classic, N, 0, 14.132, 0.929239, 13.0404, 0.787595
0.0001, 16384, 1, Classic, N, 1, 19.5666, 0.948893, 12.556, 0.793623
0.0001, 16384, 1, Classic, N, mean, 16.8493, 0.939066, 12.7982, 0.790609
0.0001, 16384, 1, Classic, N, std_dev, 3.84288, 0.0138975, 0.342503, 0.00426231
0.0001, 16384, 1, TaskBased, N, 0, 14.132, 0.929239, 12.763, 1.71538
0.0001, 16384, 1, TaskBased, N, 1, 18.918, 0.94714, 9.12868, 0.675731
0.0001, 16384, 1, TaskBased, N, mean, 16.525, 0.93819, 10.9459, 1.19555
0.0001, 16384, 1, TaskBased, N, std_dev, 3.3842, 0.0126579, 2.56986, 0.735141
0.0001, 32768, 1, Classic, N, 0, 25.0312, 0.96005, 29.9772, 1.70466
0.0001, 32768, 1, Classic, N, 1, 35.3651, 0.971724, 28.6288, 1.70152
0.0001, 32768, 1, Classic, N, mean, 30.1981, 0.965887, 29.303, 1.70309
0.0001, 32768, 1, Classic, N, std_dev, 7.30721, 0.00825476, 0.953441, 0.00221669
0.0001, 32768, 1, TaskBased, N, 0, 25.0312, 0.96005, 29.2263, 3.75759
0.0001, 32768, 1, TaskBased, N, 1, 34.6172, 0.971113, 22.22, 1.47466
0.0001, 32768, 1, TaskBased, N, mean, 29.8242, 0.965581, 25.7232, 2.61613
0.0001, 32768, 1, TaskBased, N, std_dev, 6.77833, 0.00782272, 4.9542, 1.61427
0.0001, 65536, 1, Classic, N, 0, 44.3226, 0.977438, 69.8468, 3.68217
0.0001, 65536, 1, Classic, N, 1, 63.7808, 0.984321, 67.4143, 3.76429
0.0001, 65536, 1, Classic, N, mean, 54.0517, 0.98088, 68.6305, 3.72323
0.0001, 65536, 1, Classic, N, std_dev, 13.759, 0.00486702, 1.72008, 0.0580693
0.0001, 65536, 1, TaskBased, N, 0, 44.3226, 0.977438, 69.2744, 8.42885
0.0001, 65536, 1, TaskBased, N, 1, 62.8375, 0.984086, 54.7321, 3.31879
0.0001, 65536, 1, TaskBased, N, mean, 53.5801, 0.980762, 62.0033, 5.87382
0.0001, 65536, 1, TaskBased, N, std_dev, 13.092, 0.00470085, 10.283, 3.61336
0.0001, 131072, 1, Classic, N, 0, 84.1078, 0.988111, 134.885, 7.42607
0.0001, 131072, 1, Classic, N, 1, 121.056, 0.991739, 130.82, 7.56139
0.0001, 131072, 1, Classic, N, mean, 102.582, 0.989925, 132.853, 7.49373
0.0001, 131072, 1, Classic, N, std_dev, 26.1262, 0.00256538, 2.8743, 0.0956884
0.0001, 131072, 1, TaskBased, N, 0, 84.1078, 0.988111, 134.858, 16.9466
0.0001, 131072, 1, TaskBased, N, 1, 120.189, 0.99168, 114.683, 6.67767
0.0001, 131072, 1, TaskBased, N, mean, 102.148, 0.989896, 124.77, 11.8121
0.0001, 131072, 1, TaskBased, N, std_dev, 25.513, 0.00252366, 14.2654, 7.26123
0.0001, 262144, 1, Classic, N, 0, 149.218, 0.993298, 352.663, 16.6476
0.0001, 262144, 1, Classic, N, 1, 217.676, 0.995406, 342.192, 16.9845
0.0001, 262144, 1, Classic, N, mean, 183.447, 0.994352, 347.427, 16.816
0.0001, 262144, 1, Classic, N, std_dev, 48.4069, 0.00149058, 7.40441, 0.238221
0.0001, 262144, 1, TaskBased, N, 0, 149.218, 0.993298, 351.843, 35.9494
0.0001, 262144, 1, TaskBased, N, 1, 215.4, 0.995357, 290.032, 14.297
0.0001, 262144, 1, TaskBased, N, mean, 182.309, 0.994328, 320.937, 25.1232
0.0001, 262144, 1, TaskBased, N, std_dev, 46.7981, 0.00145593, 43.7068, 15.3106
